"DateTime","Total Outages","Total Dispatchable Outages","Total Renewable Outages","Planned Dispatchable Outages","Forced Dispatchable Outages","Planned Renewable Outages","Forced Renewable Outages"
"2026-04-12 00:01:00",37492,33627,3865,18298,15329,230,3635
"2026-04-12 00:06:00",37875,34010,3865,18298,15712,230,3635
"2026-04-12 00:11:00",37875,34010,3865,18298,15712,230,3635
"2026-04-12 00:16:00",37885,34020,3865,18298,15722,230,3635
"2026-04-12 00:21:00",37885,34020,3865,18298,15722,230,3635
"2026-04-12 00:26:00",37885,34020,3865,18298,15722,230,3635
"2026-04-12 00:31:00",37885,34020,3865,18298,15722,230,3635
"2026-04-12 00:36:00",37885,34020,3865,18298,15722,230,3635
"2026-04-12 00:41:00",37885,34020,3865,18298,15722,230,3635
"2026-04-12 00:46:00",37885,34020,3865,18298,15722,230,3635
"2026-04-12 00:51:00",37885,34020,3865,18298,15722,230,3635
"2026-04-12 00:56:00",37882,34017,3865,18298,15719,230,3635
"2026-04-12 01:01:00",37882,34017,3865,18298,15719,230,3635
"2026-04-12 01:06:00",37882,34017,3865,18298,15719,230,3635
"2026-04-12 01:11:00",37882,34017,3865,18298,15719,230,3635
"2026-04-12 01:16:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 01:21:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 01:26:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 01:31:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 01:36:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 01:41:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 01:46:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 01:51:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 01:56:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 02:01:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 02:06:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 02:11:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 02:16:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 02:21:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 02:26:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 02:31:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 02:36:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 02:41:00",38442,34577,3865,18298,16279,230,3635
"2026-04-12 02:46:00",38454,34577,3877,18298,16279,230,3647
"2026-04-12 02:51:00",38454,34577,3877,18298,16279,230,3647
"2026-04-12 02:56:00",38454,34577,3877,18298,16279,230,3647
"2026-04-12 03:01:00",38454,34577,3877,18298,16279,230,3647
"2026-04-12 03:06:00",38454,34577,3877,18298,16279,230,3647
"2026-04-12 03:11:00",38454,34577,3877,18298,16279,230,3647
"2026-04-12 03:16:00",38454,34577,3877,18298,16279,230,3647
"2026-04-12 03:21:00",38454,34577,3877,18298,16279,230,3647
"2026-04-12 03:26:00",38455,34578,3877,18298,16280,230,3647
"2026-04-12 03:31:00",38455,34578,3877,18298,16280,230,3647
"2026-04-12 03:36:00",38455,34578,3877,18298,16280,230,3647
"2026-04-12 03:41:00",38455,34578,3877,18298,16280,230,3647
"2026-04-12 03:46:00",38455,34578,3877,18298,16280,230,3647
"2026-04-12 03:51:00",38455,34578,3877,18298,16280,230,3647
"2026-04-12 03:56:00",38455,34578,3877,18298,16280,230,3647
"2026-04-12 04:01:00",38455,34578,3877,18298,16280,230,3647
"2026-04-12 04:06:00",38455,34578,3877,18298,16280,230,3647
"2026-04-12 04:11:00",38455,34578,3877,18298,16280,230,3647
"2026-04-12 04:16:00",38306,34578,3728,18298,16280,230,3498
"2026-04-12 04:21:00",38306,34578,3728,18298,16280,230,3498
"2026-04-12 04:26:00",38306,34578,3728,18298,16280,230,3498
"2026-04-12 04:31:00",38306,34578,3728,18298,16280,230,3498
"2026-04-12 04:36:00",38306,34578,3728,18298,16280,230,3498
"2026-04-12 04:41:00",38306,34578,3728,18298,16280,230,3498
"2026-04-12 04:46:00",38306,34578,3728,18298,16280,230,3498
"2026-04-12 04:51:00",38306,34578,3728,18298,16280,230,3498
"2026-04-12 04:56:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 05:01:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 05:06:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 05:11:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 05:16:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 05:21:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 05:26:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 05:31:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 05:36:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 05:41:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 05:46:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 05:51:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 05:56:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 06:01:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 06:06:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 06:11:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 06:16:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 06:21:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 06:26:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 06:31:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 06:36:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 06:41:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 06:46:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 06:51:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 06:56:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 07:01:00",38316,34578,3738,18298,16280,230,3508
"2026-04-12 07:06:00",38294,34578,3716,18298,16280,230,3486
"2026-04-12 07:11:00",38294,34578,3716,18298,16280,230,3486
"2026-04-12 07:16:00",38284,34568,3716,18298,16270,230,3486
"2026-04-12 07:21:00",38284,34568,3716,18298,16270,230,3486
"2026-04-12 07:26:00",38284,34568,3716,18298,16270,230,3486
"2026-04-12 07:31:00",38284,34568,3716,18298,16270,230,3486
"2026-04-12 07:36:00",38284,34568,3716,18298,16270,230,3486
"2026-04-12 07:41:00",38284,34568,3716,18298,16270,230,3486
"2026-04-12 07:46:00",38284,34568,3716,18298,16270,230,3486
"2026-04-12 07:51:00",38284,34568,3716,18298,16270,230,3486
"2026-04-12 07:56:00",38292,34576,3716,18298,16278,230,3486
"2026-04-12 08:01:00",38292,34576,3716,18298,16278,230,3486
"2026-04-12 08:06:00",38292,34576,3716,18298,16278,230,3486
"2026-04-12 08:11:00",38292,34576,3716,18298,16278,230,3486
"2026-04-12 08:16:00",38292,34576,3716,18298,16278,230,3486
"2026-04-12 08:21:00",38292,34576,3716,18298,16278,230,3486
"2026-04-12 08:26:00",38292,34576,3716,18298,16278,230,3486
"2026-04-12 08:31:00",38292,34576,3716,18298,16278,230,3486
"2026-04-12 08:36:00",38292,34576,3716,18298,16278,230,3486
"2026-04-12 08:41:00",38292,34576,3716,18298,16278,230,3486
"2026-04-12 08:46:00",38292,34576,3716,18298,16278,230,3486
"2026-04-12 08:51:00",38292,34576,3716,18298,16278,230,3486
"2026-04-12 08:56:00",38292,34576,3716,18298,16278,230,3486
"2026-04-12 09:01:00",38292,34576,3716,18298,16278,230,3486
"2026-04-12 09:06:00",38292,34576,3716,18298,16278,230,3486
"2026-04-12 09:11:00",38292,34576,3716,18298,16278,230,3486
"2026-04-12 09:16:00",38347,34576,3771,18298,16278,230,3541
"2026-04-12 09:21:00",38347,34576,3771,18298,16278,230,3541
"2026-04-12 09:26:00",38347,34576,3771,18298,16278,230,3541
"2026-04-12 09:31:00",38347,34576,3771,18298,16278,230,3541
"2026-04-12 09:36:00",38347,34576,3771,18298,16278,230,3541
"2026-04-12 09:41:00",38347,34576,3771,18298,16278,230,3541
"2026-04-12 09:46:00",38347,34576,3771,18298,16278,230,3541
"2026-04-12 09:51:00",38347,34576,3771,18298,16278,230,3541
"2026-04-12 09:56:00",38347,34576,3771,18122,16454,230,3541
"2026-04-12 10:01:00",38347,34576,3771,18122,16454,230,3541
"2026-04-12 10:06:00",38360,34576,3784,18122,16454,230,3554
"2026-04-12 10:11:00",38360,34576,3784,18122,16454,230,3554
"2026-04-12 10:16:00",38360,34576,3784,18122,16454,230,3554
"2026-04-12 10:21:00",38360,34576,3784,18122,16454,230,3554
"2026-04-12 10:26:00",38360,34576,3784,18122,16454,230,3554
"2026-04-12 10:31:00",38360,34576,3784,18122,16454,230,3554
"2026-04-12 10:36:00",38360,34576,3784,18122,16454,230,3554
"2026-04-12 10:41:00",38360,34576,3784,18122,16454,230,3554
"2026-04-12 10:46:00",38423,34576,3847,18122,16454,230,3617
"2026-04-12 10:51:00",38423,34576,3847,18122,16454,230,3617
"2026-04-12 10:56:00",38423,34576,3847,17946,16630,230,3617
"2026-04-12 11:01:00",38423,34576,3847,17946,16630,230,3617
"2026-04-12 11:06:00",38448,34576,3872,17757,16819,230,3642
"2026-04-12 11:11:00",38448,34576,3872,17757,16819,230,3642
"2026-04-12 11:16:00",38448,34576,3872,17757,16819,230,3642
"2026-04-12 11:21:00",38448,34576,3872,17757,16819,230,3642
"2026-04-12 11:26:00",38448,34576,3872,17757,16819,230,3642
"2026-04-12 11:31:00",38448,34576,3872,17757,16819,230,3642
"2026-04-12 11:36:00",38448,34576,3872,17757,16819,230,3642
"2026-04-12 11:41:00",38448,34576,3872,17757,16819,230,3642
"2026-04-12 11:46:00",38448,34576,3872,17757,16819,230,3642
"2026-04-12 11:51:00",38448,34576,3872,17757,16819,230,3642
"2026-04-12 11:56:00",38448,34576,3872,17757,16819,230,3642
"2026-04-12 12:01:00",38448,34576,3872,17757,16819,230,3642
"2026-04-12 12:06:00",38436,34576,3860,17757,16819,230,3630