DateTime,Day-Ahead Hub Avg.,Day-Ahead,Real-Time Hub Avg.,Real-Time
2026-04-12 00:15:00,,,100.22,100.76
2026-04-12 00:30:00,,,98.65,99.18
2026-04-12 00:45:00,,,111.11,111.72
2026-04-12 01:00:00,49.77,49.78,131.31,132.02
2026-04-12 01:15:00,,,100.99,101.55
2026-04-12 01:30:00,,,73.73,74.16
2026-04-12 01:45:00,,,67.32,67.72
2026-04-12 02:00:00,35.41,35.33,65.14,65.53
2026-04-12 02:15:00,,,66.69,67.12
2026-04-12 02:30:00,,,53.96,54.34
2026-04-12 02:45:00,,,47.72,48.06
2026-04-12 03:00:00,32.42,32.36,41.04,41.33
2026-04-12 03:15:00,,,32.12,32.38
2026-04-12 03:30:00,,,35.08,35.35
2026-04-12 03:45:00,,,37.92,38.19
2026-04-12 04:00:00,28.3,28.21,36.53,36.8
2026-04-12 04:15:00,,,30.49,30.73
2026-04-12 04:30:00,,,29.13,29.35
2026-04-12 04:45:00,,,26.55,26.74
2026-04-12 05:00:00,27.16,27.04,25.8,25.93
2026-04-12 05:15:00,,,24.58,24.69
2026-04-12 05:30:00,,,25.38,25.49
2026-04-12 05:45:00,,,25.25,25.36
2026-04-12 06:00:00,25.14,24.96,22.45,22.56
2026-04-12 06:15:00,,,21.88,21.97
2026-04-12 06:30:00,,,23.41,23.53
2026-04-12 06:45:00,,,24.24,24.37
2026-04-12 07:00:00,20.22,20.08,22.47,22.57
2026-04-12 07:15:00,,,21.64,21.7
2026-04-12 07:30:00,,,20.7,20.74
2026-04-12 07:45:00,,,19.81,19.84
2026-04-12 08:00:00,21.55,21.6,18.03,18.09
2026-04-12 08:15:00,,,16.12,18.09
2026-04-12 08:30:00,,,15.23,19.5
2026-04-12 08:45:00,,,15.71,20.41
2026-04-12 09:00:00,16.03,16.92,15.96,21.26
2026-04-12 09:15:00,,,17.19,22.95
2026-04-12 09:30:00,,,16.3,21.97
2026-04-12 09:45:00,,,15.16,20.31
2026-04-12 10:00:00,12.39,14.82,14.03,18.66
2026-04-12 10:15:00,,,14.47,18.25
2026-04-12 10:30:00,,,13.83,17.65
2026-04-12 10:45:00,,,14.46,19.79
2026-04-12 11:00:00,11.07,14.2,15.27,21.95
2026-04-12 11:15:00,,,15.56,22.34
2026-04-12 11:30:00,,,16.41,23.5
2026-04-12 11:45:00,,,15.64,22.7
2026-04-12 12:00:00,9.16,12.44,14.52,21.96
2026-04-12 13:00:00,9.96,13.52,,
2026-04-12 14:00:00,13.17,16.77,,
2026-04-12 15:00:00,13.65,17.24,,
2026-04-12 16:00:00,15.69,19.25,,
2026-04-12 17:00:00,19.13,22.72,,
2026-04-12 18:00:00,20.58,24.48,,
2026-04-12 19:00:00,30.35,35.41,,
2026-04-12 20:00:00,30.86,34.89,,
2026-04-12 21:00:00,32.95,37.15,,
2026-04-12 22:00:00,28.67,32.7,,
2026-04-12 23:00:00,23.01,27.11,,
2026-04-13 00:00:00,17.67,21.13,,